meg,avg_monthly_enrollment,gross_pmpm,premium_pmpm,net_pmpm,annual_budget_est
ABD Adult,6475,764.19,0,764.19,59377563.0
ABD Dual,17649,257.64,0,257.64,54565060.32
General Adult,10049,502.44,0,502.44,60588234.72
New Adult Childless,35802,470.11,0,470.11,201970538.64
New Adult w/Child,22258,404.75,0,404.75,108107106.0
Vermont Premium Assist.,15937,29.36,0,29.36,5614923.84
Vermont Cost Sharing,3236,29.12,0,29.12,1130787.84
ABD Child,1594,1068.01,0,1068.01,20428895.28
General Child,59588,224.4,0,224.4,160458566.4
Underinsured Child,530,68.19,0,68.19,433688.4
CHIP,4374,165.45,0,165.45,8684139.6
Pharmacy Only,9568,47.5,0,47.5,5453760.0
Choices for Care,4596,727.16,0,727.16,40104328.32
